order_id,order_date,category,sub_category,region,sales
CA-2017-111682,17/06/2017,Furniture,Chairs,East,319.41
CA-2017-111682,17/06/2017,Office Supplies,Paper,East,14.56
CA-2017-111682,17/06/2017,Technology,Accessories,East,30.0
CA-2017-111682,17/06/2017,Office Supplies,Binders,East,48.48
CA-2017-111682,17/06/2017,Office Supplies,Art,East,1.68
CA-2016-135545,24/11/2016,Technology,Accessories,West,13.98
CA-2016-135545,24/11/2016,Office Supplies,Binders,West,25.824
CA-2016-135545,24/11/2016,Office Supplies,Paper,West,146.73
CA-2016-135545,24/11/2016,Furniture,Furnishings,West,79.76
US-2016-164175,30/04/2016,Furniture,Chairs,Central,213.115
CA-2015-106376,05/12/2015,Office Supplies,Art,West,1113.024
CA-2015-106376,05/12/2015,Technology,Phones,West,167.968
CA-2017-119823,04/06/2017,Office Supplies,Paper,South,75.88
CA-2017-106075,18/09/2017,Office Supplies,Binders,East,4.616
CA-2018-114440,14/09/2018,Office Supplies,Paper,Central,19.05
US-2016-134026,26/04/2016,Furniture,Chairs,South,831.936
US-2016-134026,26/04/2016,Furniture,Furnishings,South,97.04
US-2016-134026,26/04/2016,Office Supplies,Storage,South,72.784
US-2018-118038,09/12/2018,Office Supplies,Binders,Central,1.248
US-2018-118038,09/12/2018,Furniture,Furnishings,Central,9.708
US-2018-118038,09/12/2018,Office Supplies,Storage,Central,27.24
US-2015-147606,26/11/2015,Furniture,Furnishings,Central,19.3
CA-2017-127208,12/06/2017,Office Supplies,Appliances,South,208.16
CA-2017-127208,12/06/2017,Office Supplies,Binders,South,16.74
CA-2015-139451,12/10/2015,Office Supplies,Art,West,14.9
CA-2015-139451,12/10/2015,Office Supplies,Storage,West,21.39
CA-2016-149734,03/09/2016,Office Supplies,Envelopes,South,200.984
US-2018-119662,13/11/2018,Office Supplies,Storage,Central,230.376
CA-2018-140088,28/05/2018,Furniture,Chairs,South,301.96
CA-2018-155558,26/10/2018,Technology,Accessories,Central,19.99
CA-2018-155558,26/10/2018,Office Supplies,Labels,Central,6.16
CA-2017-159695,05/04/2017,Office Supplies,Storage,Central,158.368
CA-2017-109806,17/09/2017,Office Supplies,Art,West,20.1
CA-2017-109806,17/09/2017,Technology,Phones,West,73.584
CA-2017-109806,17/09/2017,Office Supplies,Paper,West,6.48
CA-2016-149587,31/01/2016,Office Supplies,Paper,Central,12.96
CA-2016-149587,31/01/2016,Furniture,Furnishings,Central,53.34
CA-2016-149587,31/01/2016,Office Supplies,Binders,Central,32.96
US-2018-109484,06/11/2018,Office Supplies,Binders,West,5.682
CA-2018-161018,09/11/2018,Furniture,Furnishings,East,96.53
CA-2018-157833,17/06/2018,Office Supplies,Binders,West,51.312
CA-2017-149223,06/09/2017,Office Supplies,Appliances,Central,77.88
CA-2017-158568,29/08/2017,Office Supplies,Paper,Central,64.624
CA-2017-158568,29/08/2017,Technology,Accessories,Central,95.976
CA-2017-158568,29/08/2017,Office Supplies,Binders,Central,1.788
CA-2017-129903,01/12/2017,Office Supplies,Paper,Central,23.92
US-2016-156867,13/11/2016,Technology,Accessories,West,238.896
US-2016-156867,13/11/2016,Furniture,Furnishings,West,102.36
US-2016-156867,13/11/2016,Office Supplies,Binders,West,36.882
CA-2018-119004,23/11/2018,Technology,Accessories,South,74.112
CA-2018-119004,23/11/2018,Technology,Phones,South,27.992
CA-2018-119004,23/11/2018,Office Supplies,Art,South,3.304
CA-2016-129476,15/10/2016,Technology,Accessories,Central,339.96
CA-2018-146780,25/12/2018,Furniture,Furnishings,East,41.96
CA-2017-128867,03/11/2017,Office Supplies,Art,Central,75.96
CA-2017-128867,03/11/2017,Office Supplies,Binders,Central,27.24
CA-2015-115259,25/08/2015,Office Supplies,Fasteners,East,40.096
CA-2015-115259,25/08/2015,Office Supplies,Envelopes,East,4.72
CA-2015-115259,25/08/2015,Office Supplies,Paper,East,23.976
CA-2015-115259,25/08/2015,Office Supplies,Envelopes,East,130.464
CA-2016-110457,02/03/2016,Furniture,Tables,West,787.53
US-2016-136476,05/04/2016,Office Supplies,Binders,South,157.794
CA-2017-103730,12/06/2017,Furniture,Furnishings,East,47.04
CA-2017-103730,12/06/2017,Office Supplies,Binders,East,30.84
CA-2017-103730,12/06/2017,Office Supplies,Storage,East,226.56
CA-2017-103730,12/06/2017,Office Supplies,Envelopes,East,115.02
CA-2017-103730,12/06/2017,Technology,Phones,East,68.04
US-2015-152030,26/12/2015,Furniture,Chairs,Central,600.558
US-2015-134614,20/09/2015,Furniture,Tables,Central,617.7
US-2018-107272,05/11/2018,Office Supplies,Binders,West,2.388
US-2018-107272,05/11/2018,Office Supplies,Storage,West,243.992
US-2017-125969,06/11/2017,Furniture,Chairs,West,81.424
US-2017-125969,06/11/2017,Furniture,Furnishings,West,238.56
US-2018-164147,02/02/2018,Technology,Phones,East,59.97
US-2018-164147,02/02/2018,Office Supplies,Paper,East,78.304
US-2018-164147,02/02/2018,Office Supplies,Fasteners,East,21.456
CA-2017-145583,13/10/2017,Office Supplies,Paper,West,20.04
CA-2017-145583,13/10/2017,Office Supplies,Paper,West,35.44
CA-2017-145583,13/10/2017,Office Supplies,Art,West,11.52
CA-2017-145583,13/10/2017,Office Supplies,Fasteners,West,4.02
CA-2017-145583,13/10/2017,Office Supplies,Binders,West,76.176
CA-2017-145583,13/10/2017,Office Supplies,Supplies,West,65.88
CA-2017-145583,13/10/2017,Furniture,Furnishings,West,43.12
CA-2017-110366,05/09/2017,Furniture,Furnishings,East,82.8
CA-2018-106180,18/09/2018,Office Supplies,Art,West,8.82
CA-2018-106180,18/09/2018,Office Supplies,Envelopes,West,10.86
CA-2018-106180,18/09/2018,Office Supplies,Paper,West,143.7
CA-2018-155376,22/12/2018,Office Supplies,Appliances,Central,839.43
CA-2016-110744,07/09/2016,Office Supplies,Storage,West,671.93
CA-2015-110072,22/10/2015,Furniture,Furnishings,East,93.888
CA-2017-114489,05/12/2017,Technology,Phones,Central,384.45
CA-2017-114489,05/12/2017,Technology,Phones,Central,149.97
CA-2017-114489,05/12/2017,Furniture,Chairs,Central,1951.84
CA-2017-114489,05/12/2017,Office Supplies,Binders,Central,171.55
CA-2017-158834,13/03/2017,Office Supplies,Appliances,West,157.92
CA-2017-158834,13/03/2017,Technology,Phones,West,203.184
CA-2016-124919,31/05/2016,Office Supplies,Paper,West,58.38
CA-2016-124919,31/05/2016,Office Supplies,Paper,West,105.52
CA-2016-124919,31/05/2016,Office Supplies,Storage,West,80.88
CA-2016-118948,28/05/2016,Office Supplies,Art,West,6.63
CA-2015-104269,01/03/2015,Furniture,Chairs,West,457.568
CA-2017-114104,20/11/2017,Office Supplies,Labels,Central,14.62
CA-2017-114104,20/11/2017,Technology,Phones,Central,944.93
CA-2017-162733,11/05/2017,Office Supplies,Paper,West,5.98
CA-2016-119697,28/12/2016,Technology,Accessories,East,54.384
CA-2017-154508,16/11/2017,Office Supplies,Envelopes,West,28.4
CA-2017-113817,07/11/2017,Office Supplies,Binders,West,27.68
CA-2015-139892,08/09/2015,Office Supplies,Art,Central,9.936
CA-2015-139892,08/09/2015,Technology,Machines,Central,8159.952
CA-2015-139892,08/09/2015,Office Supplies,Storage,Central,275.928
CA-2015-139892,08/09/2015,Furniture,Chairs,Central,1740.06
CA-2015-139892,08/09/2015,Office Supplies,Art,Central,32.064
CA-2015-139892,08/09/2015,Office Supplies,Appliances,Central,177.98
CA-2015-139892,08/09/2015,Technology,Phones,Central,143.976
CA-2015-118962,05/08/2015,Office Supplies,Paper,West,20.94
CA-2015-118962,05/08/2015,Office Supplies,Paper,West,110.96
CA-2015-118962,05/08/2015,Furniture,Chairs,West,340.144
US-2015-100853,14/09/2015,Office Supplies,Appliances,Central,52.448
US-2015-100853,14/09/2015,Office Supplies,Labels,Central,20.16
US-2018-152366,21/04/2018,Office Supplies,Appliances,Central,97.264
US-2016-101511,21/11/2016,Furniture,Chairs,East,396.802
US-2016-101511,21/11/2016,Office Supplies,Supplies,East,15.88
CA-2016-137225,15/12/2016,Office Supplies,Art,East,3.28
CA-2015-166191,05/12/2015,Office Supplies,Storage,Central,24.816
CA-2015-166191,05/12/2015,Technology,Accessories,Central,408.744
CA-2015-158274,19/11/2015,Technology,Phones,South,503.96
CA-2015-158274,19/11/2015,Technology,Phones,South,149.95
CA-2015-158274,19/11/2015,Technology,Accessories,South,29.0
CA-2017-105018,28/11/2017,Office Supplies,Binders,East,7.16
CA-2015-123260,26/08/2015,Technology,Accessories,West,176.8
CA-2017-157000,16/07/2017,Office Supplies,Storage,Central,37.224
CA-2017-157000,16/07/2017,Office Supplies,Paper,Central,20.016
CA-2016-102281,12/10/2016,Furniture,Bookcases,East,899.136
CA-2016-102281,12/10/2016,Technology,Phones,East,71.76
CA-2016-102281,12/10/2016,Office Supplies,Paper,East,51.84
CA-2016-102281,12/10/2016,Furniture,Bookcases,East,626.352
CA-2016-102281,12/10/2016,Office Supplies,Art,East,19.9
CA-2016-131457,31/10/2016,Office Supplies,Envelopes,West,14.28
CA-2015-140004,21/03/2015,Office Supplies,Art,East,7.408
CA-2015-140004,21/03/2015,Office Supplies,Art,East,6.048
CA-2018-107720,06/11/2018,Office Supplies,Storage,East,46.26
US-2018-124303,06/07/2018,Office Supplies,Binders,East,2.946
US-2018-124303,06/07/2018,Office Supplies,Paper,East,16.056
CA-2018-105074,24/06/2018,Office Supplies,Paper,East,21.744
CA-2015-133690,03/08/2015,Furniture,Tables,West,218.75
CA-2015-133690,03/08/2015,Office Supplies,Appliances,West,2.6
US-2018-116701,17/12/2018,Office Supplies,Appliances,Central,66.284
CA-2018-126382,03/06/2018,Furniture,Furnishings,South,35.168
CA-2018-108329,09/12/2018,Technology,Phones,West,444.768
CA-2018-135860,01/12/2018,Office Supplies,Storage,Central,83.92
CA-2018-135860,01/12/2018,Technology,Phones,Central,131.98
CA-2018-135860,01/12/2018,Office Supplies,Binders,Central,15.92
CA-2018-135860,01/12/2018,Office Supplies,Fasteners,Central,52.29
CA-2018-135860,01/12/2018,Office Supplies,Storage,Central,91.99
CA-2016-101007,09/02/2016,Technology,Accessories,Central,20.8
CA-2016-146262,02/01/2016,Office Supplies,Labels,East,23.68
CA-2016-146262,02/01/2016,Furniture,Bookcases,East,452.45
CA-2016-146262,02/01/2016,Technology,Phones,East,62.982
CA-2016-146262,02/01/2016,Technology,Machines,East,1188.0
CA-2016-146262,02/01/2016,Technology,Accessories,East,89.584
CA-2017-130162,28/10/2017,Office Supplies,Storage,West,93.06
CA-2017-130162,28/10/2017,Technology,Phones,West,302.376
CA-2016-169397,24/12/2016,Office Supplies,Fasteners,East,5.584
CA-2016-169397,24/12/2016,Office Supplies,Paper,East,22.704
CA-2016-169397,24/12/2016,Office Supplies,Binders,East,19.776
CA-2016-169397,24/12/2016,Furniture,Furnishings,East,72.704
CA-2016-169397,24/12/2016,Technology,Machines,East,479.988
CA-2016-169397,24/12/2016,Office Supplies,Art,East,27.168
CA-2016-163055,09/08/2016,Office Supplies,Art,Central,2.2
CA-2016-163055,09/08/2016,Furniture,Tables,Central,622.45
CA-2016-163055,09/08/2016,Office Supplies,Storage,Central,21.98
US-2016-145436,28/02/2016,Furniture,Chairs,South,161.568
US-2016-145436,28/02/2016,Furniture,Chairs,South,389.696
US-2015-156216,13/09/2015,Office Supplies,Binders,South,18.648
US-2018-100930,07/04/2018,Furniture,Tables,South,233.86
US-2018-100930,07/04/2018,Furniture,Tables,South,620.6145
US-2018-100930,07/04/2018,Office Supplies,Binders,South,5.328
US-2018-100930,07/04/2018,Furniture,Furnishings,South,258.072
US-2018-100930,07/04/2018,Technology,Accessories,South,617.976
CA-2018-160514,12/11/2018,Office Supplies,Paper,West,10.56
CA-2017-157749,04/06/2017,Office Supplies,Paper,Central,25.92
CA-2017-157749,04/06/2017,Furniture,Furnishings,Central,419.68
CA-2017-157749,04/06/2017,Furniture,Furnishings,Central,11.688
CA-2017-157749,04/06/2017,Technology,Phones,Central,31.984
CA-2017-157749,04/06/2017,Furniture,Tables,Central,177.225
CA-2017-157749,04/06/2017,Furniture,Furnishings,Central,4.044
CA-2017-157749,04/06/2017,Office Supplies,Art,Central,7.408
CA-2015-131926,01/06/2015,Furniture,Chairs,Central,2001.86
CA-2015-131926,01/06/2015,Office Supplies,Storage,Central,166.72
CA-2015-131926,01/06/2015,Office Supplies,Paper,Central,47.88
CA-2015-131926,01/06/2015,Office Supplies,Appliances,Central,1503.25
CA-2015-131926,01/06/2015,Office Supplies,Paper,Central,25.92
CA-2017-154739,10/12/2017,Furniture,Chairs,West,321.568
CA-2017-145625,11/09/2017,Office Supplies,Paper,West,7.61
CA-2017-145625,11/09/2017,Technology,Accessories,West,3347.37
CA-2017-146941,10/12/2017,Office Supplies,Storage,East,80.58
CA-2017-146941,10/12/2017,Office Supplies,Envelopes,East,361.92
US-2016-159982,28/11/2016,Furniture,Furnishings,Central,12.132
US-2016-159982,28/11/2016,Office Supplies,Storage,Central,82.368
US-2016-159982,28/11/2016,Office Supplies,Storage,Central,53.92
US-2016-159982,28/11/2016,Technology,Phones,Central,647.904
CA-2018-163139,01/12/2018,Technology,Accessories,East,20.37
CA-2018-163139,01/12/2018,Office Supplies,Storage,East,221.55
CA-2018-163139,01/12/2018,Office Supplies,Binders,East,17.52
US-2018-155299,08/06/2018,Office Supplies,Appliances,Central,1.624
US-2015-106992,19/09/2015,Technology,Machines,Central,3059.982
US-2015-106992,19/09/2015,Technology,Machines,Central,2519.958
CA-2017-125318,06/06/2017,Technology,Phones,Central,328.224
CA-2016-155040,10/11/2016,Technology,Accessories,West,79.9
CA-2018-136826,16/06/2018,Office Supplies,Art,South,14.016
CA-2017-111010,22/01/2017,Office Supplies,Fasteners,East,7.56
US-2018-145366,09/12/2018,Office Supplies,Storage,East,37.208
US-2018-145366,09/12/2018,Office Supplies,Envelopes,East,57.576
CA-2018-163979,28/12/2018,Office Supplies,Storage,West,725.84
CA-2016-155334,30/07/2016,Technology,Accessories,West,209.93
CA-2016-155334,30/07/2016,Furniture,Furnishings,West,5.28
CA-2016-155334,30/07/2016,Office Supplies,Binders,West,10.92
CA-2018-118136,16/09/2018,Office Supplies,Paper,West,8.82
CA-2018-118136,16/09/2018,Office Supplies,Art,West,5.98
CA-2018-132976,13/10/2018,Office Supplies,Paper,East,11.648
CA-2018-132976,13/10/2018,Office Supplies,Paper,East,18.176
CA-2018-132976,13/10/2018,Office Supplies,Storage,East,59.712
CA-2018-132976,13/10/2018,Office Supplies,Labels,East,24.84
US-2016-161991,26/09/2016,Office Supplies,Binders,Central,2.08
US-2016-161991,26/09/2016,Technology,Phones,Central,1114.4
CA-2016-130890,02/11/2016,Furniture,Tables,West,1038.84
CA-2016-130883,26/09/2016,Office Supplies,Paper,West,141.76
CA-2016-130883,26/09/2016,Technology,Accessories,West,239.8
CA-2016-130883,26/09/2016,Office Supplies,Paper,West,31.104
CA-2017-112697,18/12/2017,Office Supplies,Binders,South,254.058
CA-2017-112697,18/12/2017,Office Supplies,Appliances,South,194.528
CA-2017-112697,18/12/2017,Office Supplies,Supplies,South,961.48
CA-2017-110772,20/11/2017,Office Supplies,Fasteners,East,19.096
CA-2017-110772,20/11/2017,Office Supplies,Labels,East,18.496
CA-2017-110772,20/11/2017,Technology,Accessories,East,255.984
CA-2017-110772,20/11/2017,Furniture,Bookcases,East,86.97
CA-2015-111451,26/12/2015,Furniture,Furnishings,West,300.416
CA-2015-111451,26/12/2015,Furniture,Chairs,West,230.352
CA-2015-111451,26/12/2015,Furniture,Furnishings,West,218.352
CA-2015-111451,26/12/2015,Office Supplies,Binders,West,78.6
CA-2015-111451,26/12/2015,Office Supplies,Fasteners,West,27.552
CA-2017-142545,28/10/2017,Office Supplies,Paper,East,32.4
CA-2017-142545,28/10/2017,Office Supplies,Storage,East,1082.48
CA-2017-142545,28/10/2017,Office Supplies,Paper,East,56.91
CA-2017-142545,28/10/2017,Furniture,Furnishings,East,77.6
CA-2017-142545,28/10/2017,Office Supplies,Binders,East,14.28
US-2018-152380,19/11/2018,Furniture,Tables,Central,219.075
CA-2016-144253,04/05/2016,Furniture,Furnishings,East,26.8
CA-2015-130960,30/12/2015,Office Supplies,Art,Central,9.84
CA-2015-111003,01/06/2015,Office Supplies,Binders,East,45.48
CA-2015-111003,01/06/2015,Office Supplies,Art,East,289.2
CA-2018-126774,15/04/2018,Office Supplies,Art,South,4.89
CA-2017-142902,12/09/2017,Furniture,Furnishings,West,15.136
CA-2017-142902,12/09/2017,Furniture,Chairs,West,466.768
CA-2017-142902,12/09/2017,Furniture,Furnishings,West,15.232
CA-2017-142902,12/09/2017,Office Supplies,Labels,West,6.264
CA-2015-120887,27/09/2015,Furniture,Furnishings,East,87.54
CA-2015-167850,09/08/2015,Technology,Phones,South,178.384
CA-2015-167850,09/08/2015,Office Supplies,Paper,South,15.552
CA-2015-164259,28/12/2015,Office Supplies,Art,East,99.136
CA-2015-164973,04/11/2015,Furniture,Chairs,East,135.882
CA-2015-164973,04/11/2015,Technology,Machines,East,3991.98
CA-2015-164973,04/11/2015,Technology,Phones,East,275.94
CA-2015-164973,04/11/2015,Technology,Accessories,East,360.0
CA-2015-164973,04/11/2015,Office Supplies,Storage,East,43.57
CA-2015-156601,19/09/2015,Office Supplies,Fasteners,West,7.16
CA-2017-162138,23/04/2017,Office Supplies,Binders,West,251.52
CA-2017-162138,23/04/2017,Technology,Accessories,West,99.99
CA-2018-153339,03/11/2018,Furniture,Furnishings,South,15.992
US-2017-141544,30/08/2017,Technology,Phones,East,290.898
US-2017-141544,30/08/2017,Office Supplies,Storage,East,54.224
US-2017-141544,30/08/2017,Furniture,Chairs,East,786.744
US-2017-141544,30/08/2017,Office Supplies,Labels,East,100.24
US-2017-141544,30/08/2017,Office Supplies,Binders,East,37.764
US-2017-150147,25/04/2017,Technology,Phones,East,82.8
US-2017-150147,25/04/2017,Office Supplies,Binders,East,20.724
US-2017-150147,25/04/2017,Office Supplies,Binders,East,4.896
CA-2016-137946,01/09/2016,Office Supplies,Binders,West,4.752
CA-2016-137946,01/09/2016,Technology,Copiers,West,959.984
CA-2016-137946,01/09/2016,Office Supplies,Binders,West,14.368
CA-2015-129924,12/07/2015,Office Supplies,Binders,West,7.712
CA-2015-129924,12/07/2015,Furniture,Tables,West,698.352
CA-2016-128167,22/06/2016,Office Supplies,Fasteners,West,4.96
CA-2015-122336,13/04/2015,Office Supplies,Art,East,17.856
CA-2015-122336,13/04/2015,Office Supplies,Binders,East,509.97
CA-2015-122336,13/04/2015,Office Supplies,Fasteners,East,30.992
CA-2015-122336,13/04/2015,Technology,Phones,East,71.928
US-2016-120712,20/12/2016,Office Supplies,Storage,Central,88.8
CA-2018-169901,15/06/2018,Technology,Phones,West,47.976
CA-2018-134306,08/07/2018,Office Supplies,Art,East,7.56
CA-2018-134306,08/07/2018,Office Supplies,Paper,East,24.56
CA-2018-134306,08/07/2018,Office Supplies,Art,East,12.96
CA-2017-129714,01/09/2017,Technology,Accessories,East,6.79
CA-2017-129714,01/09/2017,Office Supplies,Paper,East,24.56
CA-2017-129714,01/09/2017,Office Supplies,Binders,East,3.048
CA-2017-129714,01/09/2017,Office Supplies,Paper,East,49.12
CA-2017-129714,01/09/2017,Office Supplies,Binders,East,4355.168
CA-2017-138520,08/04/2017,Furniture,Bookcases,East,388.704
CA-2017-138520,08/04/2017,Office Supplies,Envelopes,East,8.26
CA-2017-138520,08/04/2017,Office Supplies,Art,East,17.04
CA-2017-138520,08/04/2017,Office Supplies,Paper,East,34.4
CA-2017-130001,23/04/2017,Office Supplies,Paper,South,36.24
CA-2018-155698,08/03/2018,Office Supplies,Appliances,South,647.84
CA-2018-155698,08/03/2018,Office Supplies,Labels,South,20.7
CA-2018-144904,25/09/2018,Office Supplies,Labels,East,20.7
CA-2018-144904,25/09/2018,Furniture,Chairs,East,488.646
CA-2018-144904,25/09/2018,Office Supplies,Art,East,5.56
CA-2018-144904,25/09/2018,Furniture,Furnishings,East,47.12
CA-2015-123344,24/09/2015,Office Supplies,Storage,West,211.96
CA-2017-155516,21/10/2017,Office Supplies,Binders,East,23.2
CA-2017-155516,21/10/2017,Office Supplies,Supplies,East,7.36
CA-2017-155516,21/10/2017,Office Supplies,Storage,East,104.79
CA-2017-155516,21/10/2017,Furniture,Bookcases,East,1043.92
CA-2018-104745,29/05/2018,Office Supplies,Paper,Central,25.92
CA-2018-104745,29/05/2018,Office Supplies,Storage,Central,53.424
US-2015-119137,23/07/2015,Office Supplies,Binders,West,8.16
US-2015-119137,23/07/2015,Technology,Accessories,West,1023.936
US-2015-119137,23/07/2015,Office Supplies,Art,West,9.24
US-2015-119137,23/07/2015,Technology,Accessories,West,479.04
US-2017-134656,28/09/2017,Office Supplies,Paper,Central,99.136
US-2018-134481,27/08/2018,Furniture,Tables,East,1488.424
CA-2016-130792,28/04/2016,Office Supplies,Appliances,Central,8.652
CA-2016-130792,28/04/2016,Office Supplies,Storage,Central,23.832
CA-2016-130792,28/04/2016,Office Supplies,Binders,Central,12.176
CA-2017-134775,28/10/2017,Office Supplies,Paper,West,50.96
CA-2017-134775,28/10/2017,Office Supplies,Binders,West,49.536
CA-2016-125395,26/06/2016,Technology,Accessories,Central,41.9
US-2016-168935,27/11/2016,Furniture,Tables,South,375.4575
US-2016-168935,27/11/2016,Technology,Accessories,South,83.976
CA-2016-122756,03/12/2016,Technology,Machines,East,482.34
CA-2016-122756,03/12/2016,Furniture,Furnishings,East,2.96
CA-2015-115973,24/11/2015,Office Supplies,Art,East,2.624
CA-2018-101798,11/12/2018,Office Supplies,Binders,East,23.36
CA-2018-101798,11/12/2018,Technology,Accessories,East,39.98
US-2015-135972,21/09/2015,Technology,Phones,West,246.384
US-2015-135972,21/09/2015,Technology,Copiers,West,1799.97
US-2015-134971,07/06/2015,Office Supplies,Binders,Central,12.462
CA-2018-102946,30/06/2018,Office Supplies,Binders,West,75.792
CA-2018-165603,17/10/2018,Office Supplies,Storage,East,49.96
CA-2018-165603,17/10/2018,Office Supplies,Paper,East,12.96
CA-2016-122259,31/10/2016,Office Supplies,Supplies,Central,70.12
CA-2017-108987,08/09/2017,Office Supplies,Storage,Central,35.952
CA-2017-108987,08/09/2017,Furniture,Bookcases,Central,2396.2656
CA-2017-108987,08/09/2017,Office Supplies,Storage,Central,131.136
CA-2017-108987,08/09/2017,Technology,Accessories,Central,57.584
CA-2015-113166,24/12/2015,Office Supplies,Paper,South,9.568
CA-2015-155208,16/04/2015,Office Supplies,Art,South,39.072
CA-2018-117933,24/12/2018,Office Supplies,Appliances,East,35.91
CA-2018-117457,08/12/2018,Technology,Accessories,West,179.95
CA-2018-117457,08/12/2018,Technology,Copiers,West,1199.976
CA-2018-117457,08/12/2018,Office Supplies,Paper,West,27.15
CA-2018-117457,08/12/2018,Furniture,Tables,West,1004.024
CA-2018-117457,08/12/2018,Office Supplies,Paper,West,9.68
CA-2018-117457,08/12/2018,Office Supplies,Labels,West,28.35
CA-2018-117457,08/12/2018,Office Supplies,Paper,West,55.98
CA-2018-117457,08/12/2018,Furniture,Bookcases,West,1336.829
CA-2018-117457,08/12/2018,Furniture,Chairs,West,113.568
CA-2018-142636,03/11/2018,Office Supplies,Paper,West,139.86
CA-2018-142636,03/11/2018,Furniture,Chairs,West,307.136
CA-2018-122105,24/06/2018,Office Supplies,Art,West,95.92
CA-2017-148796,14/04/2017,Furniture,Chairs,West,383.8
CA-2018-154816,06/11/2018,Office Supplies,Paper,South,5.78
CA-2018-110478,04/03/2018,Office Supplies,Art,West,9.32
CA-2018-110478,04/03/2018,Office Supplies,Envelopes,West,15.25
CA-2015-142048,22/06/2015,Technology,Accessories,West,196.752
CA-2018-125388,19/10/2018,Furniture,Furnishings,East,56.56
CA-2018-125388,19/10/2018,Office Supplies,Storage,East,32.7
CA-2018-155705,21/08/2018,Furniture,Chairs,South,866.4
CA-2018-149160,23/11/2018,Furniture,Furnishings,Central,28.4
CA-2018-149160,23/11/2018,Office Supplies,Binders,Central,287.92
CA-2015-101476,12/09/2015,Technology,Machines,East,69.99
